First Name,Last Name,Riding,Province,Party,Email
Wade,Chang,Burnaby Central,British Columbia,Liberal,wade.chang@parl.gc.ca
Rebecca,Chartrand,Churchill—Keewatinook Aski,Manitoba,Liberal,rebecca.chartrand@parl.gc.ca
Sophie,Chatel,Pontiac—Kitigan Zibi,Quebec,Liberal,sophie.chatel@parl.gc.ca
Shaun,Chen,Scarborough North,Ontario,Liberal,shaun.chen@parl.gc.ca
Madeleine,Chenette,Thérèse-De Blainville,Quebec,Liberal,madeleine.chenette@parl.gc.ca
Maggie,Chi,Don Valley North,Ontario,Liberal,maggie.chi@parl.gc.ca
Michael,Chong,Wellington—Halton Hills North,Ontario,Conservative,michael.chong@parl.gc.ca
Leslie,Church,Toronto—St. Paul's,Ontario,Liberal,leslie.church@parl.gc.ca
Braedon,Clark,Sackville—Bedford—Preston,Nova Scotia,Liberal,braedon.clark@parl.gc.ca
Sandra,Cobena,Newmarket—Aurora,Ontario,Conservative,sandra.cobena@parl.gc.ca
Connie,Cody,Cambridge,Ontario,Conservative,connie.cody@parl.gc.ca
Paul,Connors,Avalon,Newfoundland and Labrador,Liberal,paul.connors@parl.gc.ca
Michael,Cooper,St. Albert—Sturgeon River,Alberta,Conservative,michael.cooper@parl.gc.ca
Serge,Cormier,Acadie—Bathurst,New Brunswick,Liberal,serge.cormier@parl.gc.ca
Michael,Coteau,Scarborough—Woburn,Ontario,Liberal,michael.coteau@parl.gc.ca
Chris,d'Entremont,Acadie—Annapolis,Nova Scotia,Liberal,Chris.dEntremont@parl.gc.ca
Julie,Dabrusin,Toronto—Danforth,Ontario,Liberal,julie.dabrusin@parl.gc.ca
Marc,Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,Marc.Dalton@parl.gc.ca
Raquel,Dancho,Kildonan—St. Paul,Manitoba,Conservative,Raquel.Dancho@parl.gc.ca
Marianne,Dandurand,Compton—Stanstead,Quebec,Liberal,marianne.dandurand@parl.gc.ca
John-Paul,Danko,Hamilton West—Ancaster—Dundas,Ontario,Liberal,john-paul.danko@parl.gc.ca
Scot,Davidson,New Tecumseth—Gwillimbury,Ontario,Conservative,Scot.Davidson@parl.gc.ca
Don,Davies,Vancouver Kingsway,British Columbia,NDP,don.davies@parl.gc.ca
Fred,Davies,Niagara South,Ontario,Conservative,fred.davies@parl.gc.ca
Mike,Dawson,Miramichi—Grand Lake,New Brunswick,Conservative,mike.dawson@parl.gc.ca
Claude,DeBellefeuille,Beauharnois—Salaberry—Soulanges—Huntingdon,Quebec,Bloc Québécois,Claude.DeBellefeuille@parl.gc.ca
Gérard,Deltell,Louis-Saint-Laurent—Akiawenhrahk,Quebec,Conservative,gerard.deltell@parl.gc.ca
Kelly,DeRidder,Kitchener Centre,Ontario,Conservative,kelly.deridder@parl.gc.ca
Guillaume,Deschênes-Thériault,Madawaska—Restigouche,New Brunswick,Liberal,guillaume.deschenes-theriault@parl.gc.ca
Alexis,Deschênes,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Quebec,Bloc Québécois,alexis.deschenes@parl.gc.ca
Caroline,Desrochers,Trois-Rivières,Quebec,Liberal,caroline.desrochers@parl.gc.ca
Sukh,Dhaliwal,Surrey Newton,British Columbia,Liberal,sukh.dhaliwal@parl.gc.ca
Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,anju.dhillon@parl.gc.ca
Lena Metlege,Diab,Halifax West,Nova Scotia,Liberal,lenametlege.diab@parl.gc.ca
Kerry,Diotte,Edmonton Griesbach,Alberta,Conservative,kerry.diotte@parl.gc.ca
Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,todd.doherty@parl.gc.ca
Terry,Dowdall,Simcoe—Grey,Ontario,Conservative,Terry.Dowdall@parl.gc.ca
Jean-Yves,Duclos,Québec Centre,Quebec,Liberal,jean-yves.duclos@parl.gc.ca
Terry,Duguid,Winnipeg South,Manitoba,Liberal,terry.duguid@parl.gc.ca
Eric,Duncan,Stormont—Dundas—Glengarry,Ontario,Conservative,Eric.Duncan@parl.gc.ca
Julie,Dzerowicz,Davenport,Ontario,Liberal,julie.dzerowicz@parl.gc.ca
Philip,Earle,Labrador,Newfoundland and Labrador,Liberal,philip.earle@parl.gc.ca
Ali,Ehsassi,Willowdale,Ontario,Liberal,ali.ehsassi@parl.gc.ca
Fayçal,El-Khoury,Laval—Les Îles,Quebec,Liberal,faycal.el-khoury@parl.gc.ca
Dave,Epp,Chatham-Kent—Leamington,Ontario,Conservative,Dave.Epp@parl.gc.ca
Nathaniel,Erskine-Smith,Beaches—East York,Ontario,Liberal,nathaniel.erskine-smith@parl.gc.ca
Doug,Eyolfson,Winnipeg West,Manitoba,Liberal,doug.eyolfson@parl.gc.ca
Rosemarie,Falk,Battlefords—Lloydminster—Meadow Lake,Saskatchewan,Conservative,Rosemarie.Falk@parl.gc.ca
Ted,Falk,Provencher,Manitoba,Conservative,ted.falk@parl.gc.ca
Jessica,Fancy,South Shore—St. Margarets,Nova Scotia,Liberal,jessica.fancy@parl.gc.ca
Bruce,Fanjoy,Carleton,Ontario,Liberal,bruce.fanjoy@parl.gc.ca
Greg,Fergus,Hull—Aylmer,Quebec,Liberal,Greg.Fergus@parl.gc.ca
Darren,Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,darren.fisher@parl.gc.ca
Peter,Fonseca,Mississauga East—Cooksville,Ontario,Liberal,peter.fonseca@parl.gc.ca
Mona,Fortier,Ottawa—Vanier—Gloucester,Ontario,Liberal,mona.fortier@parl.gc.ca
Rhéal Éloi,Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,rheal.fortin@parl.gc.ca
Peter,Fragiskatos,London Centre,Ontario,Liberal,peter.fragiskatos@parl.gc.ca
Sean,Fraser,Central Nova,Nova Scotia,Liberal,sean.fraser@parl.gc.ca
Hedy,Fry,Vancouver Centre,British Columbia,Liberal,hedy.fry@parl.gc.ca
Stephen,Fuhr,Kelowna,British Columbia,Liberal,stephen.fuhr@parl.gc.ca
Iqwinder,Gaheer,Mississauga—Malton,Ontario,Liberal,iqwinder.gaheer@parl.gc.ca
Anna,Gainey,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,anna.gainey@parl.gc.ca
Cheryl,Gallant,Algonquin—Renfrew—Pembroke,Ontario,Conservative,cheryl.gallant@parl.gc.ca
Jean-Denis,Garon,Mirabel,Quebec,Bloc Québécois,jean-denis.garon@parl.gc.ca
Vince,Gasparro,Eglinton—Lawrence,Ontario,Liberal,vince.gasparro@parl.gc.ca
Marie-Hélène,Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois,MH.Gaudreau@parl.gc.ca
Leah,Gazan,Winnipeg Centre,Manitoba,NDP,Leah.Gazan@parl.gc.ca
Bernard,Généreux,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,Quebec,Conservative,bernard.genereux@parl.gc.ca
Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,garnett.genuis@parl.gc.ca
Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,mark.gerretsen@parl.gc.ca
Amanpreet,Gill,Calgary Skyview,Alberta,Conservative,amanpreetsingh.gill@parl.gc.ca
Amarjeet,Gill,Brampton West,Ontario,Conservative,amarjeet.gill@parl.gc.ca
Dalwinder,Gill,Calgary McKnight,Alberta,Conservative,dalwinder.gill@parl.gc.ca
Harb,Gill,Windsor West,Ontario,Conservative,harb.gill@parl.gc.ca
Marilène,Gill,Côte-Nord—Kawawachikamach—Nitassinan,Quebec,Bloc Québécois,marilene.gill@parl.gc.ca
Sukhman,Gill,Abbotsford—South Langley,British Columbia,Conservative,sukhman.gill@parl.gc.ca
Marilyn,Gladu,Sarnia—Lambton—Bkejwanong,Ontario,Conservative,marilyn.gladu@parl.gc.ca
Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,joel.godin@parl.gc.ca
Laila,Goodridge,Fort McMurray—Cold Lake,Alberta,Conservative,laila.goodridge@parl.gc.ca
Karina,Gould,Burlington,Ontario,Liberal,karina.gould@parl.gc.ca
Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,jacques.gourde@parl.gc.ca
Wade,Grant,Vancouver Quadra,British Columbia,Liberal,wade.grant@parl.gc.ca
Will,Greaves,Victoria,British Columbia,Liberal,will.greaves@parl.gc.ca
Jason,Groleau,Beauce,Quebec,Conservative,jason.groleau@parl.gc.ca
Claude,Guay,LaSalle—Émard—Verdun,Quebec,Liberal,claude.guay@parl.gc.ca
Michael,Guglielmin,Vaughan—Woodbridge,Ontario,Conservative,michael.guglielmin@parl.gc.ca
Steven,Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,Steven.Guilbeault@parl.gc.ca
Mandy,Gull-Masty,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Liberal,mandy.gull-masty@parl.gc.ca
Aaron,Gunn,North Island—Powell River,British Columbia,Conservative,aaron.gunn@parl.gc.ca
Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,patty.hajdu@parl.gc.ca
Jasraj,Hallan,Calgary East,Alberta,Conservative,JasrajSingh.Hallan@parl.gc.ca
Brendan,Hanley,Yukon,Yukon,Liberal,brendan.hanley@parl.gc.ca
Gabriel,Hardy,Montmorency—Charlevoix,Quebec,Conservative,gabriel.hardy@parl.gc.ca
Emma,Harrison,Peterborough,Ontario,Liberal,emma.harrison@parl.gc.ca
Lisa,Hepfner,Hamilton Mountain,Ontario,Liberal,lisa.hepfner@parl.gc.ca
Alana,Hirtle,Cumberland—Colchester,Nova Scotia,Liberal,alana.hirtle@parl.gc.ca
Vincent,Ho,Richmond Hill South,Ontario,Conservative,vincent.ho@parl.gc.ca
Randy,Hoback,Prince Albert,Saskatchewan,Conservative,randy.hoback@parl.gc.ca
Tim,Hodgson,Markham—Thornhill,Ontario,Liberal,tim.hodgson@parl.gc.ca
Corey,Hogan,Calgary Confederation,Alberta,Liberal,corey.hogan@parl.gc.ca
Kurt,Holman,London—Fanshawe,Ontario,Conservative,kurt.holman@parl.gc.ca
Anthony,Housefather,Mount Royal,Quebec,Liberal,anthony.housefather@parl.gc.ca
Ahmed,Hussen,York South—Weston—Etobicoke,Ontario,Liberal,ahmed.hussen@parl.gc.ca
Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,angelo.iacono@parl.gc.ca
Lori,Idlout,Nunavut,Nunavut,NDP,lori.idlout@parl.gc.ca
Grant,Jackson,Brandon—Souris,Manitoba,Conservative,grant.jackson@parl.gc.ca
Helena,Jaczek,Markham—Stouffville,Ontario,Liberal,Helena.Jaczek@parl.gc.ca
Tamara,Jansen,Cloverdale—Langley City,British Columbia,Conservative,tamara.jansen@parl.gc.ca
Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,matt.jeneroux@parl.gc.ca
Jamil,Jivani,Bowmanville—Oshawa North,Ontario,Conservative,jamil.jivani@parl.gc.ca
Gord,Johns,Courtenay—Alberni,British Columbia,NDP,gord.johns@parl.gc.ca
Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,melanie.joly@parl.gc.ca
Natilien,Joseph,Longueuil—Saint-Hubert,Quebec,Liberal,natilien.joseph@parl.gc.ca
Arielle,Kayabaga,London West,Ontario,Liberal,arielle.kayabaga@parl.gc.ca
Mike,Kelloway,Sydney—Glace Bay,Nova Scotia,Liberal,Mike.Kelloway@parl.gc.ca
Pat,Kelly,Calgary Crowfoot,Alberta,Conservative,pat.kelly@parl.gc.ca
Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,iqra.khalid@parl.gc.ca
Arpan,Khanna,Oxford,Ontario,Conservative,arpan.khanna@parl.gc.ca
Jeff,Kibble,Cowichan—Malahat—Langford,British Columbia,Conservative,jeff.kibble@parl.gc.ca
Rhonda,Kirkland,Oshawa,Ontario,Conservative,rhonda.kirkland@parl.gc.ca
Ernie,Klassen,South Surrey—White Rock,British Columbia,Liberal,ernie.klassen@parl.gc.ca
Tom,Kmiec,Calgary Shepard,Alberta,Conservative,tom.kmiec@parl.gc.ca
Helena,Konanz,Similkameen—South Okanagan—West Kootenay,British Columbia,Conservative,helena.konanz@parl.gc.ca
Annie,Koutrakis,Vimy,Quebec,Liberal,Annie.Koutrakis@parl.gc.ca
Michael,Kram,Regina—Wascana,Saskatchewan,Conservative,Michael.Kram@parl.gc.ca
Shelby,Kramp-Neuman,Hastings—Lennox and Addington—Tyendinaga,Ontario,Conservative,shelby.kramp-neuman@parl.gc.ca
Tamara,Kronis,Nanaimo—Ladysmith,British Columbia,Conservative,tamara.kronis@parl.gc.ca
Ned,Kuruc,Hamilton East—Stoney Creek,Ontario,Conservative,ned.kuruc@parl.gc.ca
Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,stephanie.kusie@parl.gc.ca
Jenny,Kwan,Vancouver East,British Columbia,NDP,jenny.kwan@parl.gc.ca
Mike,Lake,Leduc—Wetaskiwin,Alberta,Conservative,mike.lake@parl.gc.ca
Marie-France,Lalonde,Orléans,Ontario,Liberal,Marie-France.Lalonde@parl.gc.ca
Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,emmanuella.lambropoulos@parl.gc.ca
Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,kevin.lamoureux@parl.gc.ca
Melissa,Lantsman,Thornhill,Ontario,Conservative,melissa.lantsman@parl.gc.ca
Linda,Lapointe,Rivière-des-Mille-Îles,Quebec,Liberal,linda.lapointe@parl.gc.ca
Viviane,Lapointe,Sudbury,Ontario,Liberal,viviane.lapointe@parl.gc.ca
Andréanne,Larouche,Shefford,Quebec,Bloc Québécois,Andreanne.Larouche@parl.gc.ca
Patricia,Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal,Patricia.Lattanzio@parl.gc.ca
Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,stephane.lauzon@parl.gc.ca
Ginette,Lavack,St. Boniface—St. Vital,Manitoba,Liberal,ginette.lavack@parl.gc.ca
Steeve,Lavoie,Beauport—Limoilou,Quebec,Liberal,steeve.lavoie@parl.gc.ca
Philip,Lawrence,Northumberland—Clarke,Ontario,Conservative,Philip.Lawrence@parl.gc.ca
Andrew,Lawton,Elgin—St. Thomas—London South,Ontario,Conservative,andrew.lawton@parl.gc.ca
Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,dominic.leblanc@parl.gc.ca
Eric,Lefebvre,Richmond—Arthabaska,Quebec,Conservative,eric.lefebvre@parl.gc.ca
Carlos,Leitão,Marc-Aurèle-Fortin,Quebec,Liberal,carlos.leitao@parl.gc.ca
Sébastien,Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,Sebastien.Lemire@parl.gc.ca
Branden,Leslie,Portage—Lisgar,Manitoba,Conservative,branden.leslie@parl.gc.ca
Chris,Lewis,Essex,Ontario,Conservative,Chris.Lewis@parl.gc.ca
Leslyn,Lewis,Haldimand—Norfolk,Ontario,Conservative,leslyn.lewis@parl.gc.ca
Joël,Lightbound,Louis-Hébert,Quebec,Liberal,joel.lightbound@parl.gc.ca
Dane,Lloyd,Parkland,Alberta,Conservative,Dane.Lloyd@parl.gc.ca
Ben,Lobb,Huron—Bruce,Ontario,Conservative,ben.lobb@parl.gc.ca
Wayne,Long,Saint John—Kennebecasis,New Brunswick,Liberal,wayne.long@parl.gc.ca
Tim,Louis,Kitchener—Conestoga,Ontario,Liberal,Tim.Louis@parl.gc.ca
Michael,Ma,Markham—Unionville,Ontario,Liberal,michael.ma@parl.gc.ca
Heath,MacDonald,Malpeque,Prince Edward Island,Liberal,heath.macdonald@parl.gc.ca
Kent,MacDonald,Cardigan,Prince Edward Island,Liberal,kent.macdonald@parl.gc.ca
Steven,MacKinnon,Gatineau,Quebec,Liberal,Steven.MacKinnon@parl.gc.ca
Jagsharan Singh,Mahal,Edmonton Southeast,Alberta,Conservative,jagsharansingh.mahal@parl.gc.ca
Shuvaloy,Majumdar,Calgary Heritage,Alberta,Conservative,shuvaloy.majumdar@parl.gc.ca
Chris,Malette,Bay of Quinte,Ontario,Liberal,chris.malette@parl.gc.ca
Gaétan,Malette,Kapuskasing—Timmins—Mushkegowuk,Ontario,Conservative,gaetan.malette@parl.gc.ca
James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,james.maloney@parl.gc.ca
Jacob,Mantle,York—Durham,Ontario,Conservative,jacob.mantle@parl.gc.ca
Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,Richard.Martel@parl.gc.ca
Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,elizabeth.may@parl.gc.ca
Dan,Mazier,Riding Mountain,Manitoba,Conservative,Dan.Mazier@parl.gc.ca
Kelly,McCauley,Edmonton West,Alberta,Conservative,kelly.mccauley@parl.gc.ca
David,McGuinty,Ottawa South,Ontario,Liberal,david.mcguinty@parl.gc.ca
Jennifer,McKelvie,Ajax,Ontario,Liberal,jennifer.mckelvie@parl.gc.ca
David,McKenzie,Calgary Signal Hill,Alberta,Conservative,david.mckenzie@parl.gc.ca
Ron,McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,ron.mckinnon@parl.gc.ca
Jill,McKnight,Delta,British Columbia,Liberal,jill.mcknight@parl.gc.ca
Greg,McLean,Calgary Centre,Alberta,Conservative,greg.mclean@parl.gc.ca
Stephanie,McLean,Esquimalt—Saanich—Sooke,British Columbia,Liberal,stephanie.mclean@parl.gc.ca
Heather,McPherson,Edmonton Strathcona,Alberta,NDP,Heather.McPherson@parl.gc.ca
Eric,Melillo,Kenora—Kiiwetinoong,Ontario,Conservative,Eric.Melillo@parl.gc.ca
Marie-Gabrielle,Ménard,Hochelaga—Rosemont-Est,Quebec,Liberal,marie-gabrielle.menard@parl.gc.ca
Alexandra,Mendès,Brossard—Saint-Lambert,Quebec,Liberal,alexandra.mendes@parl.gc.ca
Costas,Menegakis,Aurora—Oak Ridges—Richmond Hill,Ontario,Conservative,costas.menegakis@parl.gc.ca
Marjorie,Michel,Papineau,Quebec,Liberal,marjorie.michel@parl.gc.ca
Shannon,Miedema,Halifax,Nova Scotia,Liberal,shannon.miedema@parl.gc.ca
Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,Marc.Miller@parl.gc.ca
Giovanna,Mingarelli,Prescott—Russell—Cumberland,Ontario,Liberal,giovanna.mingarelli@parl.gc.ca
Rob,Moore,Fundy Royal,New Brunswick,Conservative,Rob.Moore@parl.gc.ca
Billy,Morin,Edmonton Northwest,Alberta,Conservative,billy.morin@parl.gc.ca
Rob,Morrison,Columbia—Kootenay—Southern Rockies,British Columbia,Conservative,Rob.Morrison@parl.gc.ca
Robert,Morrissey,Egmont,Prince Edward Island,Liberal,robert.morrissey@parl.gc.ca
Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,glen.motz@parl.gc.ca
Dan,Muys,Flamborough—Glanbrook—Brant North,Ontario,Conservative,dan.muys@parl.gc.ca
David,Myles,Fredericton—Oromocto,New Brunswick,Liberal,david.myles@parl.gc.ca
Yasir,Naqvi,Ottawa Centre,Ontario,Liberal,yasir.naqvi@parl.gc.ca
John,Nater,Perth—Wellington,Ontario,Conservative,john.nater@parl.gc.ca
Juanita,Nathan,Pickering—Brooklin,Ontario,Liberal,juanita.nathan@parl.gc.ca
Chi,Nguyen,Spadina—Harbourfront,Ontario,Liberal,chi.nguyen@parl.gc.ca
Taleeb,Noormohamed,Vancouver Granville,British Columbia,Liberal,taleeb.noormohamed@parl.gc.ca
Christine,Normandin,Saint-Jean,Quebec,Bloc Québécois,Christine.Normandin@parl.gc.ca
Bienvenu-Olivier,Ntumba,Mont-Saint-Bruno—L'Acadie,Quebec,Liberal,bienvenu-olivier.ntumba@parl.gc.ca
Dominique,O'Rourke,Guelph,Ontario,Liberal,dominique.orourke@parl.gc.ca
Robert,Oliphant,Don Valley West,Ontario,Liberal,rob.oliphant@parl.gc.ca
Eleanor,Olszewski,Edmonton Centre,Alberta,Liberal,eleanor.olszewski@parl.gc.ca
Tom,Osborne,Cape Spear,Newfoundland and Labrador,Liberal,tom.osborne@parl.gc.ca
Jeremy,Patzer,Swift Current—Grasslands—Kindersley,Saskatchewan,Conservative,Jeremy.Patzer@parl.gc.ca
Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,Pierre.Paul-Hus@parl.gc.ca
Yves,Perron,Berthier—Maskinongé,Quebec,Bloc Québécois,Yves.Perron@parl.gc.ca
Ginette,Petitpas Taylor,Moncton—Dieppe,New Brunswick,Liberal,ginette.petitpastaylor@parl.gc.ca
Louis,Plamondon,Bécancour—Nicolet—Saurel—Alnôbak,Quebec,Bloc Québécois,louis.plamondon@parl.gc.ca
Pierre,Poilievre,Battle River—Crowfoot,Alberta,Conservative,pierre.poilievre@parl.gc.ca
Marcus,Powlowski,Thunder Bay—Rainy River,Ontario,Liberal,Marcus.Powlowski@parl.gc.ca
Nathalie,Provost,Châteauguay—Les Jardins-de-Napierville,Quebec,Liberal,nathalie.provost@parl.gc.ca
Jacques,Ramsay,La Prairie—Atateken,Quebec,Liberal,jacques.ramsay@parl.gc.ca
Aslam,Rana,Hamilton Centre,Ontario,Liberal,aslam.rana@parl.gc.ca
Brad,Redekopp,Saskatoon West,Saskatchewan,Conservative,Brad.Redekopp@parl.gc.ca
Scott,Reid,Lanark—Frontenac,Ontario,Conservative,scott.reid@parl.gc.ca
Michelle,Rempel Garner,Calgary Nose Hill,Alberta,Conservative,michelle.rempel@parl.gc.ca
Colin,Reynolds,Elmwood—Transcona,Manitoba,Conservative,colin.reynolds@parl.gc.ca
Blake,Richards,Airdrie—Cochrane,Alberta,Conservative,blake.richards@parl.gc.ca
Anna,Roberts,King—Vaughan,Ontario,Conservative,anna.roberts@parl.gc.ca
Gregor,Robertson,Vancouver Fraserview—South Burnaby,British Columbia,Liberal,gregor.robertson@parl.gc.ca
Pauline,Rochefort,Nipissing—Timiskaming,Ontario,Liberal,pauline.rochefort@parl.gc.ca
Sherry,Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,sherry.romanado@parl.gc.ca
